Country Code,Country Name,Continent,Mobile Connectivity Subscore,Difference With Average MCS,Internet Connectivity Subscore,Difference With Average ICS,Landline Connectivity Subscore,Difference with Average LCS,Power Accessibility Subscore,Difference With Average PCS,Total Score,Difference With Average Total Score
SDN,SUDAN,AFRICA,12.46,-7.75,5.01,-5.11,0.17,-5.09,7.25,-11.57,24.89,-29.52
SEN,SENEGAL,AFRICA,19.33,-0.88,4.80,-5.32,0.36,-4.90,14.13,-4.70,38.61,-15.80
SGP,SINGAPORE,ASIA,26.72,6.51,21.30,11.18,13.18,7.92,18.15,-0.67,79.35,24.94
SLB,SOLOMON ISLANDS,AUSTRALIA,6.58,-13.63,1.50,-8.62,0.22,-5.04,4.81,-14.01,13.11,-41.30
SLE,SIERRA LEONE,AFRICA,10.43,-9.78,0.17,-9.94,0.03,-5.23,3.03,-15.80,13.66,-40.75
SLV,EL SALVADOR,NORTH AMERICA,25.43,5.22,4.77,-5.35,2.17,-3.09,23.01,4.19,55.38,0.97
SMR,SAN MARINO,EUROPE,24.00,3.79,0.00,-10.12,13.90,8.64,25.00,6.18,62.90,8.49
SOM,SOMALIA,AFRICA,2.02,-18.19,0.00,-10.12,0.14,-5.12,7.29,-11.53,9.44,-44.97
SRB,SERBIA,EUROPE,25.52,5.31,12.27,2.15,13.18,7.92,25.00,6.18,75.97,21.56
STP,SAO TOME AND PRINCIPE,AFRICA,17.29,-2.92,5.63,-4.49,0.59,-4.67,14.23,-4.60,37.73,-16.68
SUR,SURINAME,SOUTH AMERICA,24.00,3.79,9.48,-0.64,2.18,-3.08,25.00,6.18,60.66,6.25
SVK,SLOVAKIA (SLOVAK REPUBLIC),EUROPE,24.54,4.33,22.71,12.59,5.65,0.39,25.00,6.18,77.91,23.50
SVN,SLOVENIA,EUROPE,24.20,3.99,21.00,10.88,13.86,8.60,25.00,6.18,84.06,29.65
SWE,SWEDEN,EUROPE,25.03,4.82,27.00,16.88,13.51,8.25,25.00,6.18,90.54,36.13
SWZ,SWAZILAND,AFRICA,18.25,-1.96,3.31,-6.81,0.60,-4.66,8.80,-10.02,30.96,-23.45
SYC,SEYCHELLES,AFRICA,25.74,5.52,12.30,2.18,6.19,0.93,7.29,-11.53,51.51,-2.90
SYR,SYRIAN ARAB REPUBLIC,ASIA,16.30,-3.92,6.21,-3.91,2.55,-2.71,23.18,4.35,48.23,-6.18
TCD,CHAD,AFRICA,7.36,-12.85,0.51,-9.61,0.06,-5.20,0.88,-17.95,8.80,-45.61
TGO,TOGO,ASIA,12.38,-7.83,0.90,-9.22,0.13,-5.13,6.98,-11.85,20.38,-34.03
THA,THAILAND,ASIA,24.48,4.27,6.72,-3.40,1.39,-3.87,24.93,6.10,57.52,3.11
TJK,TAJIKISTAN,ASIA,23.37,3.16,3.47,-6.65,0.65,-4.61,25.00,6.18,52.48,-1.93
TKM,TURKMENISTAN,ASIA,19.03,-1.18,0.90,-9.22,1.39,-3.87,25.00,6.18,46.32,-8.09
TLS,EAST TIMOR,ASIA,13.15,-7.06,0.06,-10.06,0.04,-5.22,9.50,-9.32,22.75,-31.66
TON,TONGA,AUSTRALIA,15.65,-4.56,4.80,-5.32,10.40,5.14,23.08,4.25,53.92,-0.49
TTO,TRINIDAD AND TOBAGO,NORTH AMERICA,26.56,6.35,14.55,4.43,5.91,0.65,24.75,5.93,71.76,17.35
TUN,TUNISIA,AFRICA,24.27,4.06,11.04,0.92,1.64,-3.62,24.88,6.05,61.82,7.41
TUR,TURKEY,ASIA,24.00,3.79,11.95,1.83,5.96,0.70,25.00,6.18,66.90,12.49
TUV,TUVALU,AUSTRALIA,4.88,-15.33,7.50,-2.62,1.65,-3.61,10.25,-8.57,24.28,-30.13
TZA,"TANZANIA, UNITED REPUBLIC OF",AFRICA,14.00,-6.21,0.87,-9.25,0.05,-5.21,3.70,-15.12,18.62,-35.79
UGA,UGANDA,AUSTRALIA,11.32,-8.89,3.75,-6.37,0.13,-5.13,3.65,-15.17,18.85,-35.56
UKR,UKRAINE,EUROPE,25.03,4.82,6.99,-3.13,10.17,4.91,24.95,6.13,67.14,12.73
URY,URUGUAY,SOUTH AMERICA,25.90,5.68,13.92,3.80,10.23,4.97,24.78,5.96,74.82,20.41
USA,UNITED STATES,NORTH AMERICA,24.00,3.79,21.51,11.39,14.35,9.09,25.00,6.18,84.85,30.44
UZB,UZBEKISTAN,ASIA,22.64,2.42,6.00,-4.12,0.92,-4.34,25.00,6.18,54.55,0.14
VCT,SAINT VINCENT AND THE GRENADINES,NORTH AMERICA,25.23,5.02,11.55,1.43,2.68,-2.58,18.30,-0.53,57.76,3.35
VEN,VENEZUELA,SOUTH AMERICA,24.00,3.79,11.21,1.09,6.22,0.96,25.00,6.18,66.43,12.02
VIR,VIRGIN ISLANDS (U.S.),,0.00,-20.21,9.37,-0.75,14.14,8.88,22.06,3.24,45.56,-8.85
VNM,VIET NAM,ASIA,25.52,5.31,9.20,-0.92,2.18,-3.08,24.00,5.18,60.89,6.48
VUT,VANUATU,AUSTRALIA,21.57,1.36,2.40,-7.72,0.41,-4.85,5.88,-12.94,30.26,-24.15
WSM,SAMOA,AUSTRALIA,0.00,-20.21,2.10,-8.02,0.00,-5.26,24.90,6.08,27.00,-27.41
YEM,YEMEN,ASIA,14.61,-5.60,3.71,-6.41,0.62,-4.64,11.21,-7.61,30.15,-24.26
ZAF,SOUTH AFRICA,AFRICA,24.00,3.79,7.20,-2.92,1.28,-3.98,20.68,1.85,53.15,-1.26
ZMB,ZAMBIA,AFRICA,12.36,-7.85,3.00,-7.12,0.12,-5.14,4.63,-14.20,20.11,-34.30
ZWE,ZIMBABWE,AFRICA,17.66,-2.55,3.45,-6.67,0.39,-4.87,9.23,-9.60,30.73,-23.68
